1,1980,17056,1765,4960,643
2,1981,16058,1705,4848,729
3,1982,15296,1660,4582,737
4,1983,15231,1730,4395,773
5,1984,15726,1740,4666,824
6,1985,16821,1885,4436,895
7,1986,16665,2000,4503,947
8,1987,17823,2120,4567,988
9,1988,17325,2275,4849,1084
10,1989,16988,2380,5058,1150
11,1990,16714,2296,5293,1168
12,1991,17033,2499,5357,1190
13,1992,17237,2662,5446,1275
14,1993,17718,2959,5364,1351
15,1995,17725,3161,5622,1433
16,1996,18309,3363,5704,1655
17,1997,18620,3610,5667,1835
18,1998,18917,3916,5472,1924
19,1999,19519,4106,5606,2031
20,2000,19701,4364,5480,2147
21,2001,19649,4796,5380,2264
22,2002,19761,4918,5287,2333
23,2003,20034,5161,5397,2426
24,2004,20731,5578,5288,2572
25,2005,20802,6437,5298,2550
26,2006,20687,6795,5168,2702
27,2007,20680,7263,4009,2888
28,2008,19498,7480,4770,2957
29,2009,18771,7697,4363,3068
30,2010,19180,8070,4429,3305
31,2011,18882,8938,4442,3461
32,2012,18490,9504,4695,3618
33,2013,18961,10175,4531,3660
